Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,position.latitude,position.longitude,position.altitude
1660222244.5673614,3374,1660222244,565578937,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222244.667197,3375,1660222244,666464090,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222244.7671828,3376,1660222244,766287088,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222244.8702989,3377,1660222244,869898080,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222244.9712873,3378,1660222244,970426082,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.068101,3379,1660222245,67667961,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.169226,3380,1660222245,168668031,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.2662306,3381,1660222245,265932083,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.3666925,3382,1660222245,366375923,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.4702783,3383,1660222245,470040082,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.568418,3384,1660222245,567603111,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.6674411,3385,1660222245,667052030,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.7664716,3386,1660222245,765522003,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.8674614,3387,1660222245,867074966,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222245.96764,3388,1660222245,966381072,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.066306,3389,1660222246,65989017,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.1671083,3390,1660222246,166562080,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.2670991,3391,1660222246,266608953,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.3672395,3392,1660222246,366818904,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.4680223,3393,1660222246,467392921,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.571273,3394,1660222246,570544958,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.6699317,3395,1660222246,669343948,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.767986,3396,1660222246,767216920,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.867848,3397,1660222246,867400884,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222246.9673991,3398,1660222246,966583013,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.0668569,3399,1660222247,66471099,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.1659846,3400,1660222247,165671110,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.2686749,3401,1660222247,268443107,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.366521,3402,1660222247,366355895,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.4714715,3403,1660222247,471101045,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.5690053,3404,1660222247,568093061,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.6672018,3405,1660222247,666805028,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.767052,3406,1660222247,766475915,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.8676612,3407,1660222247,867213964,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222247.9671602,3408,1660222247,966171979,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.0675943,3409,1660222248,67194938,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.1679235,3410,1660222248,167217969,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.268102,3411,1660222248,267695903,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.367713,3412,1660222248,367197990,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.469035,3413,1660222248,465990066,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.5674121,3414,1660222248,566531896,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.6661425,3415,1660222248,665297031,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.7659805,3416,1660222248,765358924,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.8661425,3417,1660222248,865478992,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222248.9680517,3418,1660222248,966878890,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.0667381,3419,1660222249,66281080,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.1674147,3420,1660222249,167000055,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.2676592,3421,1660222249,267436027,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.367814,3422,1660222249,367333889,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.4660094,3423,1660222249,465502977,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.569363,3424,1660222249,568166017,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.6677341,3425,1660222249,667157888,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.7666082,3426,1660222249,766386032,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.868424,3427,1660222249,867938041,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222249.9705775,3428,1660222249,969419956,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.0690362,3429,1660222250,68023920,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.1678028,3430,1660222250,166234016,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.269235,3431,1660222250,268910884,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.3726323,3432,1660222250,372149944,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.4738216,3433,1660222250,473210096,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.5700939,3434,1660222250,568897008,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.6672485,3435,1660222250,666399002,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.7663379,3436,1660222250,765907049,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.8677106,3437,1660222250,867013931,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222250.96811,3438,1660222250,967252016,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.0668168,3439,1660222251,65999031,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.166422,3440,1660222251,165374994,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.2666848,3441,1660222251,266422986,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.36711,3442,1660222251,366799116,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.4658737,3443,1660222251,465562105,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.5675354,3444,1660222251,566378116,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.6681232,3445,1660222251,667498111,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.7664003,3446,1660222251,765889883,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.8684893,3447,1660222251,867556095,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222251.9687364,3448,1660222251,967807054,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.066829,3449,1660222252,66490888,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.1672957,3450,1660222252,166510105,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.2685196,3451,1660222252,268062114,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.366876,3452,1660222252,366452932,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.4677746,3453,1660222252,466903924,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.5666873,3454,1660222252,566086053,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.667012,3455,1660222252,666340112,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.7668562,3456,1660222252,766132116,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.8707523,3457,1660222252,870040893,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222252.9671254,3458,1660222252,966372013,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.0664518,3459,1660222253,65373897,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.1668189,3460,1660222253,166465044,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.2683446,3461,1660222253,267999887,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.3663158,3462,1660222253,365907907,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.4665854,3463,1660222253,465399980,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.5670774,3464,1660222253,566360950,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.6664312,3465,1660222253,666052103,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.7656503,3466,1660222253,765260934,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.866578,3467,1660222253,865951061,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222253.9686909,3468,1660222253,967272996,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.0670674,3469,1660222254,66642999,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.1663408,3470,1660222254,165904998,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.2673788,3471,1660222254,267113924,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.3741298,3472,1660222254,373626947,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.470504,3473,1660222254,469027042,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.5661395,3474,1660222254,565265893,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.6706686,3475,1660222254,670198917,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.76807,3476,1660222254,767416000,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.8712513,3477,1660222254,870115041,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222254.9699032,3478,1660222254,968375921,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222255.0675023,3479,1660222255,66315889,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222255.1666079,3480,1660222255,166379928,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222255.2663171,3481,1660222255,266048908,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222255.3697977,3482,1660222255,369549989,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222255.466866,3483,1660222255,466487884,,-2.1211356453528936,-2.0610576047509426,-1.0
1660222255.5675304,3484,1660222255,566358089,,-2.1211356453528936,-2.0610576047509426,-1.0
