Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,lat,lon,sample
1660222214.1690748,307,1660222214,147716999,,59.30014045699801,18.731222361391588,5.801065398268526
1660222215.162031,308,1660222215,147722959,,59.300143946863706,18.731216192652028,5.705815708248951
1660222216.1623037,309,1660222216,147732019,,59.30014939807216,18.73120822874091,5.553671865633855
1660222217.1614127,310,1660222217,147828102,,59.300151682323566,18.731204141272542,5.458365590103586
1660222218.1721673,311,1660222218,147831916,,59.30015767721277,18.7311940042257,5.179794008048972
1660222219.1680236,312,1660222219,148009061,,59.30015174954037,18.73119856037829,5.346224987062931
1660222220.1685717,313,1660222220,147772073,,59.30015295340207,18.731194390984115,5.248404082245273
1660222221.1655433,314,1660222221,147731065,,59.30013682612285,18.731209526229122,5.537246176792919
1660222222.1624665,315,1660222222,147795915,,59.30013526779207,18.731206002828117,5.448266325911239
1660222223.1604435,316,1660222223,147677898,,59.300133562855336,18.73120535199132,5.398016160873196
1660222224.1696622,317,1660222224,147643089,,59.300133548259666,18.73120318699455,5.361593386406928
1660222225.1708188,318,1660222225,147666931,,59.30013461002619,18.731203477178724,5.393327797014499
1660222226.1612382,319,1660222226,147650957,,59.30013476184755,18.73120471151026,5.415804517069701
1660222227.1622205,320,1660222227,147738933,,59.30013593197467,18.731204449119787,5.439917123252557
1660222228.1685386,321,1660222228,147862911,,59.300135155634976,18.731204883843475,5.430070300527236
1660222229.1835282,322,1660222229,148091077,,59.30013601481991,18.731208760256095,5.5075546664887485
1660222230.1628559,323,1660222230,147774934,,59.30013402728483,18.731212638067404,5.526540230727866
1660222231.1670284,324,1660222231,147845029,,59.30013794256768,18.731211219274883,5.58828563793263
1660222232.1681874,325,1660222232,147682905,,59.30014298672414,18.731210736615367,5.630440344972579
1660222233.1680145,326,1660222233,147770881,,59.300145565942614,18.731210579867252,5.614811900172194
1660222234.1654947,327,1660222234,147767066,,59.30014853863898,18.731213759017237,5.650373875308565
1660222235.1665626,328,1660222235,147772073,,59.30015165312212,18.731214331922274,5.648141966540513
1660222236.1681316,329,1660222236,147919893,,59.30015463587634,18.73121455874582,5.638523354203346
1660222237.1632392,330,1660222237,147768020,,59.300160347703795,18.73121701050104,5.656494721661237
1660222238.161831,331,1660222238,148169040,,59.30017399626138,18.731224314999622,5.568718069905774
1660222239.1653883,332,1660222239,147811889,,59.30017769925644,18.731230057073844,5.521256317928471
1660222240.165467,333,1660222240,147669076,,59.300175073008894,18.731231377155382,5.6235805305056585
1660222241.1691668,334,1660222241,147715091,,59.300140599589064,18.731213209337056,5.6746014602834585
1660222242.1632893,335,1660222242,147716045,,59.30012861624717,18.731199710833607,5.190878052887796
1660222243.1651137,336,1660222243,147809028,,59.3001408280901,18.73120581881699,5.569669309026267
1660222244.1717308,337,1660222244,147809028,,59.30014324691859,18.73121546891275,5.696360046728092
1660222245.1658337,338,1660222245,147813081,,59.3001457744756,18.731218310852796,5.729441203872481
1660222246.1656554,339,1660222246,147790908,,59.30013978264702,18.73121408586087,5.670100449443041
1660222247.1647847,340,1660222247,147747993,,59.300140721400965,18.73121959374089,5.767842238904967
1660222248.1694877,341,1660222248,147783994,,59.30014462059116,18.731225125205356,5.834534343740723
1660222249.1634169,342,1660222249,147794961,,59.30014238456779,18.731228496507583,5.890056594915828
1660222250.1661687,343,1660222250,148262977,,59.30014734635084,18.731261542030666,6.216681482887231
1660222251.166976,344,1660222251,147964954,,59.30014765587603,18.731268852977905,6.3077343128356125
1660222252.1715584,345,1660222252,148222923,,59.300151158304274,18.731279301115933,6.4080317345894615
1660222253.1635387,346,1660222253,148503065,,59.30016025180412,18.731272715526416,6.055791014522139
1660222254.163377,347,1660222254,147717952,,59.300157969616926,18.731269319542207,6.06663851909747
1660222255.1644585,348,1660222255,147862911,,59.30016192059245,18.731267312456907,5.946400199384985
1660222256.1715157,349,1660222256,147736072,,59.300164134777965,18.731283584126004,6.071833581583375
1660222257.165601,350,1660222257,147761106,,59.30016125927843,18.73129738645366,6.4887796905186965
1660222258.16355,351,1660222258,147764921,,59.300158993248864,18.731298934791198,6.636563769722567
1660222259.1628056,352,1660222259,147870063,,59.3001569493907,18.731292094696983,6.424258728539035
1660222260.1634154,353,1660222260,147895097,,59.300156422072526,18.73131322789152,7.33276176560909
1660222261.16609,354,1660222261,147741079,,59.300159285665494,18.731311315714038,7.1467263773969165
1660222262.170989,355,1660222262,147847890,,59.300159677632315,18.731316577935672,7.354910262216792
1660222263.1625314,356,1660222263,147711038,,59.300162065574625,18.731324386424603,7.5031420053759526
1660222264.1644964,357,1660222264,148149967,,59.30016333311965,18.731337419140687,7.761904077903903
1660222265.1639483,358,1660222265,147677898,,59.300164572430795,18.73133843200651,7.751318477264061
1660222266.169973,359,1660222266,147840976,,59.300162210839346,18.731336939894277,7.7835797121181605
1660222267.163952,360,1660222267,148056983,,59.300159926722515,18.731341398114296,7.948568855722968
1660222268.1650116,361,1660222268,148173093,,59.30015928536604,18.731335834034326,7.846769277861539
1660222269.1718278,362,1660222269,147716045,,59.300159337209195,18.731328240866333,7.677654899720382
1660222270.1628203,363,1660222270,147840023,,59.300156155138176,18.73133817578082,7.987498859005303
1660222271.1619608,364,1660222271,147779941,,59.30015165022535,18.731316123692295,7.6257983376058265
1660222272.162847,365,1660222272,147728919,,59.30015809067868,18.731332041215865,7.798998144524199
1660222273.1652226,366,1660222273,148366928,,59.30016092052068,18.731339936012546,7.89008743969741
1660222274.165549,367,1660222274,147716999,,59.300157263518905,18.731333023847583,7.845759441261941
1660222275.1658306,368,1660222275,147676944,,59.30015613286044,18.731334053176624,7.9037350667693955
1660222276.171139,369,1660222276,148246049,,59.30015631704488,18.731336204790978,7.941031942963276
1660222277.1653428,370,1660222277,148582935,,59.30015886456578,18.731346404706528,8.07977938335354
1660222278.1644,371,1660222278,147754907,,59.30016491382185,18.731372506142293,7.7048928722062975
1660222279.1652212,372,1660222279,148914098,,59.30016404319528,18.731359268044685,7.827983942641418
1660222280.1646316,373,1660222280,147753000,,59.30016573664396,18.731362091893516,7.785757596227212
1660222281.1660314,374,1660222281,148634910,,59.30017451799627,18.73140051422172,7.357835004436351
1660222282.1671994,375,1660222282,148173093,,59.30016769451588,18.731388731482525,7.698336114807537
1660222283.1643407,376,1660222283,147891044,,59.30018492955592,18.73146150472212,7.479143741361863
1660222284.1623185,377,1660222284,147772073,,59.300189447893814,18.731479097134525,7.644142614752343
1660222285.1694615,378,1660222285,147813081,,59.30019225997305,18.73149132817025,7.779555295498238
1660222286.1671822,379,1660222286,147892951,,59.300189006353186,18.73148063114604,7.701631544380415
1660222287.1708705,380,1660222287,149117946,,59.300187612563946,18.73146679002025,7.457870677916412
1660222288.1639695,381,1660222288,147747993,,59.3001899297882,18.731469851642487,7.408200534528746
1660222289.1681938,382,1660222289,148114919,,59.30018683658081,18.731461604101924,7.380899852873889
1660222290.174745,383,1660222290,147664070,,59.30018428545157,18.731457299515682,7.4212549290071514
1660222291.1674225,384,1660222291,147836923,,59.300193427566086,18.731487532609208,7.63959121292382
1660222292.1626987,385,1660222292,147849082,,59.300192359052154,18.73148703167567,7.680396455664096
1660222293.1636746,386,1660222293,147650003,,59.30018067746358,18.731470703390073,7.899912340187822
1660222294.1674178,387,1660222294,147789001,,59.30018232841749,18.7314693901734,7.786533787897885
1660222295.1647258,388,1660222295,147799968,,59.300181125921334,18.731462292927517,7.696057390719006
1660222296.166747,389,1660222296,147680044,,59.30018199613269,18.731462148983155,7.6484061646189625
1660222297.1653755,390,1660222297,147735118,,59.300189014297864,18.731474889308856,7.568619884779919
1660222298.1635447,391,1660222298,147677898,,59.30019624468117,18.731488262490075,7.60461593238087
